Year,MonthNumber,Salmon,SalmonWeight,SeaTrout,SeaTroutWeight,Farmed,Method
1952,2,0.107,3.742990654,0,0,0,Fixed Engine: Retained
1952,2,6.606,3.762776264,0.453,1.558057395,0,Net and Coble: Retained
1952,3,0.185,3.800540541,0.013,1.638461538,0,Fixed Engine: Retained
1952,3,7.008,3.73172089,0.848,1.382665094,0,Net and Coble: Retained
1952,4,0.484,3.951033058,0.014,1.428571429,0,Fixed Engine: Retained
1952,4,4.253,3.884810722,1.244,1.136173633,0,Net and Coble: Retained
1952,5,0.754,4.390318302,0.06,1.738333333,0,Fixed Engine: Retained
1952,5,2.37,4.13535865,2.689,1.308664931,0,Net and Coble: Retained
1952,6,0.461,4.752494577,0.08,1.57625,0,Fixed Engine: Retained
1952,6,2.157,4.612239221,7.286,1.520587428,0,Net and Coble: Retained
1952,7,0.37,5.197837838,0.07,1.555714286,0,Fixed Engine: Retained
1952,7,1.503,5.236393879,9.076,1.534750992,0,Net and Coble: Retained
1952,8,0.167,6.396407186,0.02,2.065,0,Fixed Engine: Retained
1952,8,0.803,6.349190535,2.391,1.585780008,0,Net and Coble: Retained
1952,9,0.048,7.645833333,0.007,1.814285714,0,Fixed Engine: Retained
1952,9,0.601,7.276372712,1.359,1.999264165,0,Net and Coble: Retained
1953,2,0.17,3.095294118,0,0,0,Fixed Engine: Retained
1953,2,6.482,3.440435051,0.108,1.642592593,0,Net and Coble: Retained
1953,3,0.275,3.706181818,0.007,1.742857143,0,Fixed Engine: Retained
1953,3,3.974,3.529768495,0.394,1.570304569,0,Net and Coble: Retained
1953,4,0.194,3.504639175,0.004,1.125,0,Fixed Engine: Retained
1953,4,3.91,3.497544757,0.723,1.26473029,0,Net and Coble: Retained
1953,5,0.472,4.012076271,0.033,1.909090909,0,Fixed Engine: Retained
1953,5,3.227,3.91521537,1.467,1.202181322,0,Net and Coble: Retained
1953,6,0.422,4.531516588,0.077,1.684415584,0,Fixed Engine: Retained
1953,6,1.741,4.247271683,2.459,1.3699878,0,Net and Coble: Retained
1953,7,0.5,4.9932,0.126,1.832539683,0,Fixed Engine: Retained
1953,7,1.435,4.823275261,8.484,1.494059406,0,Net and Coble: Retained
1953,8,0.251,5.824302789,0.038,1.742105263,0,Fixed Engine: Retained
1953,8,0.934,5.701927195,3.192,1.581046366,0,Net and Coble: Retained
1953,9,0.016,6.55,0.017,2.958823529,0,Fixed Engine: Retained
1953,9,0.327,6.577675841,2.319,1.952263907,0,Net and Coble: Retained
1954,2,0.297,3.5003367,0.001,1.4,0,Fixed Engine: Retained
1954,2,4.143,3.588559015,0.117,1.973504274,0,Net and Coble: Retained
1954,3,0.481,3.346777547,0.013,1.815384615,0,Fixed Engine: Retained
1954,3,14.237,3.463637002,0.433,1.530484988,0,Net and Coble: Retained
1954,4,0.759,3.687351779,0.014,2.007142857,0,Fixed Engine: Retained
1954,4,9.927,3.607806991,0.832,1.447475962,0,Net and Coble: Retained
1954,5,0.513,4.069980507,0.037,1.813513514,0,Fixed Engine: Retained
1954,5,4.893,3.870324954,1.146,1.337434555,0,Net and Coble: Retained
1954,6,0.309,4.371521036,0.068,1.794117647,0,Fixed Engine: Retained
1954,6,2.767,4.249692808,5.04,1.559047619,0,Net and Coble: Retained
1954,7,0.675,4.826962963,0.196,2.652040816,0,Fixed Engine: Retained
1954,7,3.128,4.755019182,10.045,1.703922349,0,Net and Coble: Retained
1954,8,0.147,5.47414966,0.05,1.824,0,Fixed Engine: Retained
1954,8,0.891,5.616722783,3.212,1.893306351,0,Net and Coble: Retained
1954,9,0.012,4.991666667,0.019,3.126315789,0,Fixed Engine: Retained
1954,9,0.409,5.078239609,2.476,2.021728595,0,Net and Coble: Retained
1955,2,0.004,1.925,0,0,0,Fixed Engine: Retained
1955,2,0.424,3.421226415,0.087,1.282758621,0,Net and Coble: Retained
1955,3,0.183,3.31147541,0.012,1.625,0,Fixed Engine: Retained
1955,3,5.228,3.344682479,0.278,1.270863309,0,Net and Coble: Retained
1955,4,0.684,3.463596491,0.047,1.457446809,0,Fixed Engine: Retained
1955,4,9.135,3.438861522,2.464,1.144277597,0,Net and Coble: Retained
1955,5,0.251,4.006374502,0.038,1.265789474,0,Fixed Engine: Retained
1955,5,3.85,3.788155844,4.732,0.986179205,0,Net and Coble: Retained
1955,6,0.7,4.624,0.128,1.8140625,0,Fixed Engine: Retained
1955,6,4.245,4.2803298,11.535,1.202739489,0,Net and Coble: Retained
1955,7,0.818,5.0200489,0.344,1.915988372,0,Fixed Engine: Retained
1955,7,3.469,4.758345344,12.989,1.558079914,0,Net and Coble: Retained
1955,8,0.215,5.816744186,0.065,1.64,0,Fixed Engine: Retained
1955,8,1.455,5.879587629,6.104,1.470167104,0,Net and Coble: Retained
1955,9,0.07,6.96,0.011,3.418181818,0,Fixed Engine: Retained
1955,9,0.619,6.531340872,1.829,1.782121378,0,Net and Coble: Retained
1956,2,0.015,3.146666667,0.003,1.366666667,0,Fixed Engine: Retained
1956,2,0.513,3.502339181,0.203,1.327093596,0,Net and Coble: Retained
1956,3,0.417,3.242685851,0.025,1.58,0,Fixed Engine: Retained
1956,3,5.874,3.381171263,0.958,1.332359081,0,Net and Coble: Retained
1956,4,0.468,3.421367521,0.028,1.182142857,0,Fixed Engine: Retained
1956,4,5.278,3.525274725,1.609,1.27228092,0,Net and Coble: Retained
1956,5,0.648,3.72037037,0.037,1.62972973,0,Fixed Engine: Retained
1956,5,3.112,3.710796915,3.195,1.319593114,0,Net and Coble: Retained
1956,6,0.716,4.150698324,0.093,2.160215054,0,Fixed Engine: Retained
1956,6,2.382,4.091267842,8.988,1.468012906,0,Net and Coble: Retained
1956,7,0.534,4.892696629,0.072,1.726388889,0,Fixed Engine: Retained
1956,7,2.553,4.437328633,9.938,1.646407728,0,Net and Coble: Retained
1956,8,0.11,5.447272727,0.024,1.625,0,Fixed Engine: Retained
1956,8,1.228,5.426465798,3.944,1.841861055,0,Net and Coble: Retained
1956,9,0.016,5.95625,0.004,2.375,0,Fixed Engine: Retained
1956,9,0.431,6.65962877,1.686,2.450652432,0,Net and Coble: Retained
1957,2,0.06,3.008333333,0.003,2.266666667,0,Fixed Engine: Retained
1957,2,2.057,3.265775401,0.156,1.758974359,0,Net and Coble: Retained
1957,3,0.52,3.205769231,0,0,0,Fixed Engine: Retained
1957,3,9.344,3.246800086,0.379,1.749868074,0,Net and Coble: Retained
1957,4,0.12,3.425,0.004,2.15,0,Fixed Engine: Retained
1957,4,4.943,3.396763099,1.124,1.189679715,0,Net and Coble: Retained
1957,5,0.22,3.935909091,0.02,2.175,0,Fixed Engine: Retained
1957,5,4.573,3.720795976,4.57,1.318993435,0,Net and Coble: Retained
1957,6,0.308,4.266558442,0.051,1.823529412,0,Fixed Engine: Retained
1957,6,2.047,4.005227162,7.378,1.514597452,0,Net and Coble: Retained
1957,7,0.29,4.632758621,0.038,1.657894737,0,Fixed Engine: Retained
1957,7,2.684,4.436028316,5.992,1.641772363,0,Net and Coble: Retained
1957,8,0.068,4.908823529,0.013,2.092307692,0,Fixed Engine: Retained
1957,8,0.835,5.224790419,2.648,1.699093656,0,Net and Coble: Retained
